Hour,demand
20,0.69394414
21,0.687809971
22,0.658618289
23,0.613199339
24,0.571217263
1,0.548812321
2,0.534673279
3,0.520925781
4,0.520534238
5,0.531236405
6,0.559470982
7,0.595971461
8,0.62055164
9,0.628469503
10,0.633037501
11,0.634777691
12,0.639128165
13,0.641868964
14,0.636213347
15,0.642608544
16,0.662620726
17,0.688419038
18,0.696641434
19,0.693770121
20,0.683981554
21,0.673714435
22,0.642304011
23,0.589184721
24,0.547072131
1,0.51944662
2,0.505916645
3,0.497041678
4,0.496650135
5,0.507004263
6,0.534716784
7,0.578178021
8,0.608196293
9,0.610893587
10,0.607326199
11,0.611894196
12,0.60880536
13,0.6155921
14,0.613242843
15,0.624815105
16,0.647133038
17,0.675193596
18,0.682415383
19,0.684199078
20,0.68037066
21,0.661707126
22,0.628251979
23,0.582180458
24,0.539154268
1,0.515400679
2,0.499651962
3,0.491777604
4,0.493430784
5,0.507787349
6,0.547898721
7,0.593317672
8,0.614156443
9,0.626598799
10,0.623074915
11,0.632776473
12,0.644044201
13,0.644566258
14,0.645740886
15,0.663838858
16,0.698860176
17,0.735099626
18,0.742451927
19,0.738231967
20,0.727225268
21,0.709388323
22,0.670538589
23,0.614243453
24,0.569259549
1,0.540502915
2,0.525928826
3,0.512094318
4,0.510789176
5,0.526407378
6,0.55651266
7,0.595014357
8,0.641564431
9,0.66523101
10,0.680240146
11,0.697729052
12,0.698903681
13,0.67880449
14,0.672322283
15,0.685069173
16,0.699947794
17,0.725485078
18,0.729139476
19,0.729008962
20,0.721439137
21,0.714043331
22,0.685547725
23,0.639215174
24,0.589184721
1,0.562124772
2,0.543678761
3,0.528930653
4,0.518881058
5,0.513442965
6,0.515661707
7,0.542460628
8,0.59275211
9,0.643130601
10,0.663360306
11,0.68541721
12,0.706734534
13,0.714869921
14,0.723527364
15,0.722352736
16,0.711085008
17,0.716262073
18,0.708953276
19,0.716001044
20,0.714478378
21,0.700121813
22,0.672496302
23,0.62733838
24,0.584355695
1,0.549247368
2,0.525537284
3,0.508048377
4,0.500130514
5,0.494344384
6,0.492995737
7,0.519968677
8,0.55733925
9,0.59605847
10,0.624467067
11,0.650134865
12,0.672713826
13,0.685243192
14,0.694118159
15,0.71082398
16,0.746367354
17,0.789828591
18,0.805881841
19,0.79256939
20,0.770164448
21,0.757113025
22,0.716740625
23,0.662316192
24,0.612720787
1,0.578482555
2,0.566257722
3,0.551248586
4,0.540154877
5,0.552553728
6,0.598842774
7,0.641781954
8,0.690594275
9,0.710910989
10,0.738841034
11,0.773688332
12,0.812059514
13,0.810014792
14,0.801444357
15,0.805881841
16,0.817236579
17,0.820499434
18,0.795310189
19,0.765987993
20,0.730096581
21,0.702514574
22,0.657574176
23,0.603845819
24,0.558774906
1,0.533324632
2,0.516270774
3,0.509962586
4,0.513225442
5,0.519403115
6,0.543722266
7,0.584529714
8,0.61128513
9,0.612503263
10,0.609022883
11,0.616070652
12,0.626120247
13,0.634821196
14,0.633907596
15,0.633777082
16,0.633951101
17,0.653223701
18,0.650656922
19,0.661750631
20,0.657835204
21,0.651222483
22,0.624032019
23,0.579787697
24,0.545984512
1,0.521534847
2,0.507352301
3,0.499347429
4,0.501348647
5,0.526624902
6,0.55825285
7,0.582006439
8,0.602714696
9,0.617680327
10,0.620812669
11,0.632036892
12,0.640085269
13,0.631253807
14,0.630905769
15,0.639476203
16,0.658705299
17,0.689419647
18,0.696945967
19,0.699338728
20,0.68881058
21,0.682458888
22,0.651440007
23,0.592621596
24,0.550465501
1,0.530627338
2,0.514748108
3,0.505220569
4,0.504393979
5,0.522665971
6,0.544418342
7,0.590750892
8,0.632950492
9,0.656965109
10,0.668232837
11,0.678891499
12,0.699338728
